case_id,t1,t1ce,t2,flair,efficiency_gap,full_value,model,seed
BRATS_027,0.13711393374790107,0.08584497754792705,0.2785186762519499,0.32868868477813695,0.0,0.830166272325915,no_quality,43
BRATS_034,0.11694935187212117,0.1608673988376911,0.19628565558406308,0.17818428244541812,0.0,0.6522866887392935,no_quality,43
BRATS_059,0.11815268690633322,0.3481270084619692,0.20028696818678207,0.23254157148887467,1.1102230246251565e-16,0.8991082350439591,no_quality,43
BRATS_062,0.05906880005210272,0.27744250147109756,0.19581724122135105,0.20562168628321847,0.0,0.7379502290277699,no_quality,43
BRATS_066,0.14515397445749056,0.36369329344144363,0.10444711796779435,0.14504415813928978,0.0,0.7583385440060183,no_quality,43
BRATS_076,0.14826958303786555,0.23777721210484318,0.17489207107634444,0.17266766808606607,0.0,0.7336065343051192,no_quality,43
BRATS_092,0.14841640713175236,0.18333758510057893,0.15518609896552568,0.1455299802079867,0.0,0.6324700714058437,no_quality,43
BRATS_097,0.10027960693090879,0.37392948837241546,0.2161979136720241,0.21060204138139144,1.1102230246251565e-16,0.9010090503567397,no_quality,43
BRATS_116,0.1340462155522955,0.18809590995578718,0.16663700667040238,0.19547128453304866,0.0,0.6842504167115337,no_quality,43
BRATS_119,0.08703707668293822,0.2414832874705152,0.1993781259469679,0.19717173899370327,0.0,0.7250702290941247,no_quality,43
BRATS_135,0.1140651350823441,0.25940623939381824,0.1735250198911659,0.16189892929348598,0.0,0.7088953236608142,no_quality,43
BRATS_143,0.16329466375262688,0.23988213323579494,0.18461222782464842,0.17214040238725065,0.0,0.7599294272003209,no_quality,43
BRATS_144,0.004666063934126389,0.2859584401080192,0.18468781635171108,0.23328609548998225,0.0,0.7085984158838389,no_quality,43
BRATS_160,0.07918909074598514,0.32992138736777277,0.11489185751299938,0.24865915473787986,0.0,0.7726614903646372,no_quality,43
BRATS_163,0.18916225161670835,0.22680052281604363,0.22479840347334346,0.16680760184424373,0.0,0.8075687797503391,no_quality,43
BRATS_170,0.10921643006563478,0.11652835246425498,0.17173139713184662,0.12544835713349498,0.0,0.5229245367952313,no_quality,43
BRATS_190,0.07662363289803066,0.2960969357775707,0.23953991243156503,0.23729281395210353,1.1102230246251565e-16,0.8495532950592698,no_quality,43
BRATS_194,0.09955125635705833,0.20813496389294162,0.16968142808759484,0.14878137336006825,0.0,0.6261490216976631,no_quality,43
BRATS_197,0.07909061466897517,0.2854563968514666,0.15097502215124972,0.17480865654794234,0.0,0.6903306902196339,no_quality,43
BRATS_228,0.16578051960357243,0.3447985606420197,0.17356952620784294,0.18405603650308108,0.0,0.8682046429565161,no_quality,43
BRATS_234,0.11276846166971405,0.39580333044125865,0.19095664372497737,0.2465406345399914,0.0,0.9460690703759415,no_quality,43
BRATS_259,0.07351537470434728,0.05662244500582352,0.13365243884482603,0.13539487270337755,5.551115123125783e-17,0.39918513125837435,no_quality,43
BRATS_268,0.11332474667843791,0.16972652270404076,0.13718343193468122,0.1421967377591639,0.0,0.5624314390763238,no_quality,43
BRATS_273,0.06028846722154663,0.3422054713018302,0.23954453618021948,0.2130898825594327,0.0,0.855128357263029,no_quality,43
BRATS_278,0.04511364462742232,0.37394696361310314,0.041291648515326296,0.28690564376198924,0.0,0.747257900517841,no_quality,43
BRATS_285,0.18705451349104787,0.2573054556614589,0.21367652870743445,0.16646710586082725,0.0,0.8245036037207685,no_quality,43
BRATS_298,0.10980316577332169,0.3929846296938524,0.12846558682533105,0.1937854508619442,1.1102230246251565e-16,0.8250388331544493,no_quality,43
BRATS_302,0.03537355294607284,0.3647190443373093,0.16004083741957054,0.12381908650272301,-1.1102230246251565e-16,0.6839525212056757,no_quality,43
BRATS_304,0.07157396461681635,0.36277460916719617,0.1774558081206025,0.2231961737480341,-1.1102230246251565e-16,0.8350005556526492,no_quality,43
BRATS_306,0.12583332812570686,0.29614091234036344,0.14447110162903415,0.2814191168953639,0.0,0.8478644589904684,no_quality,43
BRATS_307,0.08689416706461978,0.24103356467311834,0.22603212695841332,0.2427647564624769,0.0,0.7967246151586284,no_quality,43
BRATS_318,0.12458975450630703,0.34293639955315947,0.17003632683755104,0.21298428188299395,0.0,0.8505467627800115,no_quality,43
BRATS_322,0.10818640940878574,0.18414045853509484,0.07778397714944252,0.2667909782729141,-1.1102230246251565e-16,0.6369018233662372,no_quality,43
BRATS_325,0.12802050752260205,0.3145567578898479,0.18312469317563967,0.24002746260222196,0.0,0.8657294211903116,no_quality,43
BRATS_326,0.08918804264485253,0.30678944780686374,0.12728841900120594,0.2911321106892427,0.0,0.8143980201421649,no_quality,43
