model,seed,case_id,group_id,subset,macro_dice
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t1ce,0.42001965658356155
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t1ce+flair,0.6802525193473512
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t1ce+t2,0.7124361867567108
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t1ce+t2+flair,0.8107563032305991
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t2,0.7947358654086341
qmmf,43,BRATS_027,sg_4267e6ff34e2e7aa,t2+flair,0.8683533847096947
qmmf,43,BRATS_342,sg_444c950e61a18f08,flair,0.47324192615276983
qmmf,43,BRATS_342,sg_444c950e61a18f08,t1,0.045941062692223776
qmmf,43,BRATS_342,sg_444c950e61a18f08,t1+flair,0.4679602099437947
qmmf,43,BRATS_342,sg_444c950e61a18f08,t1+t1ce,0.15926579504880944
qmmf,43,BRATS_342,sg_444c950e61a18f08,t1+t1ce+flair,0.6265364072307134
qmmf,43,BRATS_342,sg_444c950e61a18f08,t1+t1ce+t2,0.4387921293865098
qmmf,43,BRATS_342,sg_444c950e61a18f08,t1+t1ce+t2+flair,0.7035327870298168
qmmf,43,BRATS_342,sg_444c950e61a18f08,t1+t2,0.27450775985828385
qmmf,43,BRATS_342,sg_444c950e61a18f08,t1+t2+flair,0.553399855406588
qmmf,43,BRATS_342,sg_444c950e61a18f08,t1ce,0.15788499075847037
qmmf,43,BRATS_342,sg_444c950e61a18f08,t1ce+flair,0.660330321536411
qmmf,43,BRATS_342,sg_444c950e61a18f08,t1ce+t2,0.5555075475893524
qmmf,43,BRATS_342,sg_444c950e61a18f08,t1ce+t2+flair,0.7210040088120667
qmmf,43,BRATS_342,sg_444c950e61a18f08,t2,0.42252854441558657
qmmf,43,BRATS_342,sg_444c950e61a18f08,t2+flair,0.5539944086196377
qmmf,43,BRATS_326,sg_455084cc52da07da,flair,0.7038746561029883
qmmf,43,BRATS_326,sg_455084cc52da07da,t1,0.22834296765067333
qmmf,43,BRATS_326,sg_455084cc52da07da,t1+flair,0.6413358095849628
qmmf,43,BRATS_326,sg_455084cc52da07da,t1+t1ce,0.5492238637843112
qmmf,43,BRATS_326,sg_455084cc52da07da,t1+t1ce+flair,0.8197565065078
qmmf,43,BRATS_326,sg_455084cc52da07da,t1+t1ce+t2,0.7288584955524288
qmmf,43,BRATS_326,sg_455084cc52da07da,t1+t1ce+t2+flair,0.790618939142572
qmmf,43,BRATS_326,sg_455084cc52da07da,t1+t2,0.39086743754135056
qmmf,43,BRATS_326,sg_455084cc52da07da,t1+t2+flair,0.5171846617964905
qmmf,43,BRATS_326,sg_455084cc52da07da,t1ce,0.5263021951850327
qmmf,43,BRATS_326,sg_455084cc52da07da,t1ce+flair,0.8210142485542283
qmmf,43,BRATS_326,sg_455084cc52da07da,t1ce+t2,0.6574440144284398
qmmf,43,BRATS_326,sg_455084cc52da07da,t1ce+t2+flair,0.778009329716583
qmmf,43,BRATS_326,sg_455084cc52da07da,t2,0.32666771490939256
qmmf,43,BRATS_326,sg_455084cc52da07da,t2+flair,0.6081247756457376
qmmf,43,BRATS_475,sg_47ad4a78768d946f,flair,0.7000598353375506
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t1,0.525349875033775
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t1+flair,0.654144918188108
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t1+t1ce,0.7669610180933842
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t1+t1ce+flair,0.8285459022733476
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t1+t1ce+t2,0.8685680486306997
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t1+t1ce+t2+flair,0.8809114570471429
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t1+t2,0.6960110909109005
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t1+t2+flair,0.7260449619620948
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t1ce,0.707515124286465
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t1ce+flair,0.8287857013683085
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t1ce+t2,0.8726770908302708
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t1ce+t2+flair,0.8887249492106696
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t2,0.7072855049974583
qmmf,43,BRATS_475,sg_47ad4a78768d946f,t2+flair,0.752570581298977
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,flair,0.5664012795532708
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t1,0.24025006707137098
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t1+flair,0.5308473575573919
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t1+t1ce,0.6568639203646046
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t1+t1ce+flair,0.8113606525460749
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t1+t1ce+t2,0.8387040169412238
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t1+t1ce+t2+flair,0.8502368519845147
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t1+t2,0.6461737074709556
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t1+t2+flair,0.7011218453505434
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t1ce,0.6934584192080467
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t1ce+flair,0.8289616386416508
qmmf,43,BRATS_273,sg_4c38c49cc72ad103,t1ce+t2,0.8565340337581803
