model,case_id,subset,group_id,n_modalities,macro_dice
hemis,BRATS_021,t1+t1ce+t2,sg_8a56096263e207fc,3,0.20698474614865514
hemis,BRATS_021,t1+t1ce+t2+flair,sg_8a56096263e207fc,4,0.17302115519761918
hemis,BRATS_021,t1+t2,sg_8a56096263e207fc,2,0.15786871843356384
hemis,BRATS_021,t1+t2+flair,sg_8a56096263e207fc,3,0.18704346537193475
hemis,BRATS_021,t1ce,sg_8a56096263e207fc,1,0.08459958101890767
hemis,BRATS_021,t1ce+flair,sg_8a56096263e207fc,2,0.11733865444656776
hemis,BRATS_021,t1ce+t2,sg_8a56096263e207fc,2,0.3830314498830572
hemis,BRATS_021,t1ce+t2+flair,sg_8a56096263e207fc,3,0.2795699042402345
hemis,BRATS_021,t2,sg_8a56096263e207fc,1,0.2052418518926281
hemis,BRATS_021,t2+flair,sg_8a56096263e207fc,2,0.23314929741640136
hemis,BRATS_111,flair,sg_74969a1c98337c11,1,0.32126313719523
hemis,BRATS_111,t1,sg_74969a1c98337c11,1,0.0072292975149429286
hemis,BRATS_111,t1+flair,sg_74969a1c98337c11,2,0.16407890674320383
hemis,BRATS_111,t1+t1ce,sg_74969a1c98337c11,2,0.03864929574868223
hemis,BRATS_111,t1+t1ce+flair,sg_74969a1c98337c11,3,0.14424897002679551
hemis,BRATS_111,t1+t1ce+t2,sg_74969a1c98337c11,3,0.10547928246568165
hemis,BRATS_111,t1+t1ce+t2+flair,sg_74969a1c98337c11,4,0.15088027409589047
hemis,BRATS_111,t1+t2,sg_74969a1c98337c11,2,0.12515461494193922
hemis,BRATS_111,t1+t2+flair,sg_74969a1c98337c11,3,0.16725221419025615
hemis,BRATS_111,t1ce,sg_74969a1c98337c11,1,0.06320250781859164
hemis,BRATS_111,t1ce+flair,sg_74969a1c98337c11,2,0.26583307202711864
hemis,BRATS_111,t1ce+t2,sg_74969a1c98337c11,2,0.19161783492668746
hemis,BRATS_111,t1ce+t2+flair,sg_74969a1c98337c11,3,0.23698592412470967
hemis,BRATS_111,t2,sg_74969a1c98337c11,1,0.201699226027844
hemis,BRATS_111,t2+flair,sg_74969a1c98337c11,2,0.23593366080128084
hemis,BRATS_172,flair,sg_cb857fb98a0abf51,1,0.30126739495028704
hemis,BRATS_172,t1,sg_cb857fb98a0abf51,1,0.019111391484533464
hemis,BRATS_172,t1+flair,sg_cb857fb98a0abf51,2,0.20225208344486678
hemis,BRATS_172,t1+t1ce,sg_cb857fb98a0abf51,2,0.11875312291518535
hemis,BRATS_172,t1+t1ce+flair,sg_cb857fb98a0abf51,3,0.232041116188639
