model,case_id,t1,t1ce,t2,flair,efficiency_gap,full_value
no_max,BRATS_367,0.11076835673140915,0.3887677892223139,0.16015053961277495,0.20865792658582621,0.0,0.8683446121523243
no_max,BRATS_369,0.1439592402345912,0.3291900300260672,0.19567189846217825,0.19384220440352615,1.1102230246251565e-16,0.8626633731263628
no_max,BRATS_404,0.03738217548884528,0.26170993474414006,0.24049177480581901,0.23121709174371433,0.0,0.7708009767825187
no_max,BRATS_413,0.12184354888566942,0.3784799520039216,0.13686722075113364,0.15977051347659352,0.0,0.7969612351173182
no_max,BRATS_430,0.08872996857498164,0.44585377360015943,0.15417621912154292,0.08877651572933679,0.0,0.7775364770260208
no_max,BRATS_441,0.13857311015546672,0.3907725517659223,0.16571397337370505,0.15015490300034076,0.0,0.8452145382954348
no_max,BRATS_484,0.15277157274759703,0.3597506238073914,0.16671150079871438,0.22965876579406344,0.0,0.9088924631477663
no_consistency,BRATS_021,0.16096864523303392,0.12794823424336715,0.22701040873038136,0.2620893783999345,0.0,0.778016666606717
no_consistency,BRATS_111,0.12970249067579523,0.41585324438250043,0.13408926008662347,0.23360295299896155,-1.1102230246251565e-16,0.9132479481438808
no_consistency,BRATS_172,0.15770311031298156,0.36709688883155306,0.20694374329587606,0.20414939891728864,0.0,0.9358931413576993
no_consistency,BRATS_219,0.16305179578902507,0.3670895354782656,0.17952420678539277,0.18803583410282962,0.0,0.897701372155513
no_consistency,BRATS_230,0.08682606383962362,0.21785133863246697,0.19054312821851954,0.13986022809321105,0.0,0.6350807587838212
no_consistency,BRATS_258,0.01774261699538811,0.45756262503430745,0.17779534051770643,0.24524828320366296,0.0,0.898348865751065
no_consistency,BRATS_324,0.06340546599766961,0.4941789802005545,0.10306311600853209,0.15034223458260912,0.0,0.8109897967893653
no_consistency,BRATS_335,0.10940721938171513,0.3259943556136989,0.1809092397958047,0.21741612752625641,0.0,0.8337269423174751
no_consistency,BRATS_338,0.03394891159157214,0.3408831869098229,0.11617983065762506,0.2291378521459835,0.0,0.7201497813050036
no_consistency,BRATS_367,0.08996436325192267,0.38341542017711167,0.1404667885734053,0.22818100935957356,0.0,0.8420275813620132
no_consistency,BRATS_369,0.14722443708860763,0.28094320438591647,0.20316148757407745,0.18125301152220497,0.0,0.8125821405708065
no_consistency,BRATS_404,0.06892563014049187,0.25315239588916383,0.24681955664827487,0.19993192517667738,0.0,0.7688295078546079
