model,case_id,subset,group_id,n_modalities,macro_dice
qmmf,BRATS_338,t1ce,sg_602726c0ba192496,1,0.37392081990455467
qmmf,BRATS_338,t1ce+flair,sg_602726c0ba192496,2,0.709110334930641
qmmf,BRATS_338,t1ce+t2,sg_602726c0ba192496,2,0.618162398090345
qmmf,BRATS_338,t1ce+t2+flair,sg_602726c0ba192496,3,0.7022856447184248
qmmf,BRATS_338,t2,sg_602726c0ba192496,1,0.25455995612306925
qmmf,BRATS_338,t2+flair,sg_602726c0ba192496,2,0.3300964409666184
qmmf,BRATS_367,flair,sg_a46b5f5bbd1aae60,1,0.6692703588572809
qmmf,BRATS_367,t1,sg_a46b5f5bbd1aae60,1,0.3729286144921679
qmmf,BRATS_367,t1+flair,sg_a46b5f5bbd1aae60,2,0.6688110037279092
qmmf,BRATS_367,t1+t1ce,sg_a46b5f5bbd1aae60,2,0.7801441507726131
qmmf,BRATS_367,t1+t1ce+flair,sg_a46b5f5bbd1aae60,3,0.8559623039345007
qmmf,BRATS_367,t1+t1ce+t2,sg_a46b5f5bbd1aae60,3,0.8512831884225888
qmmf,BRATS_367,t1+t1ce+t2+flair,sg_a46b5f5bbd1aae60,4,0.8386680299833298
qmmf,BRATS_367,t1+t2,sg_a46b5f5bbd1aae60,2,0.5825251132463579
qmmf,BRATS_367,t1+t2+flair,sg_a46b5f5bbd1aae60,3,0.6559037759291374
qmmf,BRATS_367,t1ce,sg_a46b5f5bbd1aae60,1,0.8005684952939293
qmmf,BRATS_367,t1ce+flair,sg_a46b5f5bbd1aae60,2,0.8845396886980271
qmmf,BRATS_367,t1ce+t2,sg_a46b5f5bbd1aae60,2,0.845557779067127
qmmf,BRATS_367,t1ce+t2+flair,sg_a46b5f5bbd1aae60,3,0.8682211044679823
qmmf,BRATS_367,t2,sg_a46b5f5bbd1aae60,1,0.4269248880071233
qmmf,BRATS_367,t2+flair,sg_a46b5f5bbd1aae60,2,0.6590653256535747
