model,seed,fold,epochs,patience,size,batch,split_hash,protocol,macro_f1,accuracy,balanced_accuracy,sensitivity,specificity,auroc,average_precision,brier,log_loss,config_hash,best_epoch,epochs_run,inner_validation_macro_f1,parameters,wall_seconds,peak_gpu_gb
narrow_resnet_gn,42,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7593582887700534,0.8222222222222222,0.7379807692307692,0.9375,0.5384615384615384,0.7331730769230769,0.7784927011055784,0.14223987339045122,0.4683764452418721,d47c70bddc9724def44bdd29aa3dc654ba2d5b6d71fe1e9197decf47e3ed3c1a,10,22,0.7947368421052632,700786,1.9556496809999544,0.10411930084228516
full,42,3,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6595022624434389,0.6744186046511628,0.6726190476190477,0.6785714285714286,0.6666666666666666,0.8071428571428572,0.8978624267104961,0.2523988514034363,0.8068192056454201,ad71956ef08fe29d3eb9d908fa24c8416c4ea8b1cbac561dee70e30e00cde464,40,52,1.0,338170,6.858653189999927,0.2008962631225586
no_attention,42,3,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6868347338935574,0.6976744186046512,0.7059523809523809,0.6785714285714286,0.7333333333333333,0.8142857142857143,0.9008335252396427,0.22533541737268573,0.7123608502454831,68ecdd109356095f0ef438a11243322b944ae886d97c9aab80bcac4aa4305a91,30,42,0.8869047619047619,328306,4.030343581000011,0.18642711639404297
no_multiscale,42,3,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7138535995160314,0.7441860465116279,0.7107142857142856,0.8214285714285714,0.6,0.8357142857142856,0.9157866669206266,0.1940838125444158,0.6660033390513607,a85eb986477058ad379be75075229448a0388b86dc865db6450e732792615273,26,38,0.9701960784313726,338170,4.995818597000039,0.2008962631225586
no_attention_no_multiscale,42,3,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7570621468926553,0.7906976744186046,0.7464285714285714,0.8928571428571429,0.6,0.8333333333333334,0.917077895885792,0.17878828165554655,0.5561193901471053,9cfd560787823753fc119d1258d3402c2bf8e65d7a5aa5c650471106b62efce8,33,45,0.8441345365053323,328306,4.320028242000035,0.18642711639404297
no_augmentation,42,3,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6293103448275862,0.6744186046511628,0.6261904761904762,0.7857142857142857,0.4666666666666667,0.6476190476190476,0.8042329812908209,0.29030408459494134,1.0684626612703148,a2f5a153cba612340ff37163f5372bdfeacb78b10926168cd55bef984f0e85f2,19,31,0.8509803921568628,338170,3.966721065999991,0.2008962631225586
plain_cnn,42,3,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7081447963800905,0.7209302325581395,0.7238095238095238,0.7142857142857143,0.7333333333333333,0.8261904761904763,0.8729207038517439,0.17752669506526897,0.5450521736609635,6f3aea163dd712c1a6f9f26e20a53487dc4f50f5c1111e6bb044ddb88d409e95,47,59,0.9138321995464853,261874,4.066650654,0.19661283493041992
narrow_resnet_gn,42,3,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.735014005602241,0.7441860465116279,0.7571428571428571,0.7142857142857143,0.8,0.8738095238095238,0.9324337643219154,0.15522962960175432,0.4600323611513404,fc4eb7d0429455d2b1dba14f26fffe50590e5f9cfee6187ce35b41a3ef84e819,12,24,0.8782051282051282,700786,2.1563729590000094,0.10411930084228516
full,42,4,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6461538461538461,0.6521739130434783,0.6807692307692308,0.46153846153846156,0.9,0.8634615384615385,0.8916755309467859,0.2207089438829047,0.6363018055020586,3fb8538a4abeab32bc8d24823c52f8e95f0adc27a72d34397fc6e04d44e7b936,21,33,0.8885448916408669,338170,4.574207455000078,0.2008962631225586
no_attention,42,4,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7371428571428571,0.7391304347826086,0.7403846153846154,0.7307692307692307,0.75,0.8596153846153846,0.8705631510962613,0.1515977833763536,0.44726768583815674,2954919d189c3b23a7c30e0ea2b0dfd163bd9fbcdc5fbd3ddfae0674d593953e,23,35,0.8885448916408669,328306,3.3573273169999993,0.18642711639404297
no_multiscale,42,4,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7371428571428571,0.7391304347826086,0.7403846153846154,0.7307692307692307,0.75,0.8673076923076923,0.9040382987872884,0.18844800079829188,0.6418338022574731,06f658d78a2a348918cccee578ccdcd9c05426bafc62a3a9ccf8fbfa96beaa8a,44,56,0.916083916083916,338170,7.411749714999928,0.2008962631225586
no_attention_no_multiscale,42,4,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7552007740686986,0.7608695652173914,0.7538461538461538,0.8076923076923077,0.7,0.8384615384615385,0.8423693676174272,0.16599681320583803,0.49791585023254015,e58e660c27b6fdbe375be6929793e98eeaff073af74632ab90683ffff05259d4,23,35,0.83125,328306,3.401238623999916,0.18642711639404297
no_augmentation,42,4,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6734279918864097,0.6956521739130435,0.6730769230769231,0.8461538461538461,0.5,0.7634615384615384,0.7586622555378891,0.19692191727268504,0.595317968488856,52a39054ed92eb7a5656dd52d42f07fc6ebf5e3b9443d4c6d4026c87f2d87dd7,11,23,0.83125,338170,2.9538493979999885,0.2008962631225586
plain_cnn,42,4,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.5576923076923077,0.5652173913043478,0.5923076923076923,0.38461538461538464,0.8,0.7884615384615384,0.7858899343420177,0.21692784838704574,0.6174289996478685,3268e42b860150d8e421abaa69ec38670d8f0342b9777839cc0d0252248a63d6,26,38,0.8054054054054054,261874,2.6684310199999572,0.19661283493041992
narrow_resnet_gn,42,4,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7172576832151301,0.717391304347826,0.7326923076923078,0.6153846153846154,0.85,0.8211538461538461,0.7828103915396354,0.2148140831981284,0.6565579953533726,9f1f8e31cdfee9cec8bafd51b9c3008a4d90e7583792fc061d729014c19ddafd,16,28,0.8333333333333334,700786,2.6120017390001067,0.10411930084228516
full,43,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.784688995215311,0.8,0.7857142857142857,0.5714285714285714,1.0,0.8809523809523809,0.900587778971238,0.15749299493163468,0.6103781459153773,68a0d78cda5b91e953797a6d627228841031858d7c368bc732cacb3a0e610f73,18,30,0.7714285714285714,338170,3.9401184300000978,0.2008962631225586
no_attention,43,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.8148148148148149,0.8222222222222222,0.8125,0.6666666666666666,0.9583333333333334,0.8809523809523809,0.9135437633967047,0.13417213317801693,0.5151297243258505,9463960499a24fd8be12301a233d960c8c634a074e5013a5e5d8cdb5c57352ae,32,44,0.7401764234161989,328306,4.299636953000004,0.18642711639404297
no_multiscale,43,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6811740890688258,0.6888888888888889,0.7023809523809523,0.9047619047619048,0.5,0.8948412698412699,0.895730513819855,0.22288045049408797,0.670878788182868,fe13163cfe4a1140ead0cc354cd616ce6325c5aa28fe68b5dd51a33da11360ac,23,35,0.7777777777777777,338170,4.570687377000013,0.2008962631225586
no_attention_no_multiscale,43,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.8633603238866396,0.8666666666666667,0.8601190476190477,0.7619047619047619,0.9583333333333334,0.8968253968253967,0.9254008655225032,0.12178839303792438,0.44198497402289444,3f216526039402f94df86307c8761cb7cae98f0859a4999982ab917fcf71d229,33,45,0.7925925925925925,328306,4.391444045999947,0.18642711639404297
no_augmentation,43,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6875,0.6888888888888889,0.6964285714285714,0.8095238095238095,0.5833333333333334,0.8353174603174603,0.7773718193341772,0.24680290001978986,0.7522056488735731,8e831940a5c442da3ac35de0f46532916ae50535a5663febd4e13f21d1a98409,26,38,0.8212512413108242,338170,4.844645159000038,0.2008962631225586
plain_cnn,43,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6153846153846154,0.6222222222222222,0.6339285714285714,0.8095238095238095,0.4583333333333333,0.8115079365079365,0.8537122159905413,0.22625348349770155,0.6449552426627461,75bbd38be43cac52f52f19f8dd5df66f7df52371c31806ca31fff04b581818f3,11,23,0.7304812834224599,261874,1.584057768999969,0.19661283493041992
narrow_resnet_gn,43,0,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7536087605774017,0.7555555555555555,0.7648809523809523,0.9047619047619048,0.625,0.9126984126984128,0.9183394764004378,0.1776618340967832,0.5152123088213197,6aac226aa12734d111a2355cdf25a30626993fcf08e9adee26657ff0c2328407,21,33,0.8518518518518519,700786,3.1431900759999962,0.10411930084228516
full,43,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7297794117647058,0.7551020408163265,0.7490196078431373,0.7647058823529411,0.7333333333333333,0.8215686274509804,0.8705258680912782,0.1738718594625872,0.5538345744437594,ee3a457912f3c9594e3bff571924e8e887118fa294176f22a0ea35810a78061b,22,34,0.8674242424242424,338170,4.429481475999978,0.2008962631225586
no_attention,43,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6379834854411126,0.6530612244897959,0.6754901960784314,0.6176470588235294,0.7333333333333333,0.8490196078431373,0.914992414361982,0.23469522845662355,0.7088974798947125,5c02afc8bc3034a056f9649922c8a6cbe7bd5303e24841a994e1326c57ba9b3c,29,41,0.8097826086956521,328306,3.90878498699999,0.18642711639404297
no_multiscale,43,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6063424947145877,0.6122448979591837,0.6647058823529413,0.5294117647058824,0.8,0.8215686274509804,0.905401784046559,0.2809097230327355,0.9053862946252277,29fdc6f15c5cac5c251695a4d6f83d25d95356ac7e14fddf3fbf603ea4896248,26,38,0.825,338170,4.9780408089999355,0.2008962631225586
no_attention_no_multiscale,43,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6131578947368421,0.6326530612244898,0.642156862745098,0.6176470588235294,0.6666666666666666,0.7372549019607844,0.8118872590541718,0.23036868397179805,0.6576639828242841,31b1a9a8d4e72bc0602e8c2fbc04c4dc5a6a2efb52a6977079f9221a3c6cbf1e,11,23,0.7822222222222222,328306,2.2357932379999284,0.18642711639404297
no_augmentation,43,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6847426470588236,0.7142857142857143,0.7009803921568627,0.7352941176470589,0.6666666666666666,0.7588235294117647,0.8661742695808193,0.24039391353308173,0.8412595502052304,259b120cf065e4fc14524bb9f20bad5f4ce16da8e3b1055e989072efb3393c5a,22,34,0.8444444444444444,338170,4.373921086999985,0.2008962631225586
plain_cnn,43,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.711111111111111,0.7346938775510204,0.7343137254901961,0.7352941176470589,0.7333333333333333,0.8176470588235295,0.8945118289997103,0.19282702181984634,0.5833132631900965,e6eb1ef53a76b92d19770ba1f7c565031a1abb5a6695587a8bb7a78fd5d57863,52,60,0.8776223776223776,261874,4.082043876000057,0.19661283493041992
narrow_resnet_gn,43,1,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.75,0.7959183673469388,0.7411764705882353,0.8823529411764706,0.6,0.7941176470588235,0.8728394333868473,0.16023841509061526,0.4969290370533002,98d58544e46113951f9c6d525f9a2a3322ee10a5a3cab1c20f293a4f71e88ba3,13,25,0.8444444444444444,700786,2.2050251540000545,0.10411930084228516
full,43,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.8728094968908988,0.8888888888888888,0.8990384615384616,0.875,0.9230769230769231,0.9591346153846154,0.9850580227287599,0.0873361103002198,0.2929219894419508,eece43ca6633d22afa1e9cd01fed7960e6982d5d8f4181e653b152c4d1f0ad00,31,43,0.8200395517468688,338170,5.645664110999974,0.2008962631225586
no_attention,43,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.6889952153110048,0.7111111111111111,0.7283653846153846,0.6875,0.7692307692307693,0.8389423076923077,0.9175018785428228,0.1817845408294241,0.5418186039824524,b12fadac565131622f80ff6bd0b7cc6b7e0415b80119aee4275e1bd8d6bc1acc,14,26,0.7420634920634921,328306,2.499650279999969,0.18642711639404297
no_multiscale,43,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.8148148148148148,0.8444444444444444,0.8221153846153846,0.875,0.7692307692307693,0.8701923076923077,0.9438596356682414,0.13871916178261562,0.4391251406718078,d6ada1e7eb1679a3a0f7fc0e3d613d350e713e39406ea4563c08486cfa4dfe0c,23,35,0.7936507936507937,338170,4.60504794499991,0.2008962631225586
no_attention_no_multiscale,43,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.7,0.7333333333333333,0.7211538461538461,0.75,0.6923076923076923,0.8221153846153846,0.8996253678434116,0.17436255572371112,0.5281668755744613,89fd7069f8da75c5fee3c37d1cadc1e7ad3015f70bc7189e180930395b1e07ba,14,26,0.7947368421052632,328306,2.4709361080000463,0.18642711639404297
no_augmentation,43,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.708994708994709,0.7555555555555555,0.7139423076923077,0.8125,0.6153846153846154,0.8221153846153846,0.9171991482643065,0.1566953673638369,0.4798116864640221,4113ed1444d3c6dde78994c53aa25f081d13243f2c4623e97b5bc7574bfa94e8,9,21,0.7686222808174028,338170,2.6649723769999127,0.2008962631225586
plain_cnn,43,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.65,0.6888888888888889,0.6670673076923077,0.71875,0.6153846153846154,0.7572115384615384,0.8656841589890789,0.1979237230843439,0.5750072025427875,9f4e176d9a747b0ce348e83c37ffd723b930b2900f72860db73f1c41d6c0f051,23,35,0.8186046511627907,261874,2.3968226709999954,0.19661283493041992
narrow_resnet_gn,43,2,60,12,128,32,008b31e71f5e86fec4d98c728fe7095038810e3eb509d56355f9c7eff86194b3,classification-v2,0.8500000000000001,0.8666666666666667,0.8834134615384616,0.84375,0.9230769230769231,0.9350961538461539,0.9772022834332672,0.11107264598761889,0.37334244480064227,b496d363de9fc66df3414361c17f0bfb0c582b7485c00dd556279518fd22ea08,8,20,0.8460526315789474,700786,1.829719870999952,0.10411930084228516
