model,seed,curve,x,y
full,42,PR,0.8085106382978723,0.8085106382978723
full,42,PR,0.8085106382978723,0.8142857142857143
full,42,PR,0.8085106382978723,0.8201438848920863
full,42,PR,0.8085106382978723,0.8260869565217391
full,42,PR,0.8014184397163121,0.8248175182481752
full,42,PR,0.8014184397163121,0.8308823529411765
full,42,PR,0.7943262411347518,0.8296296296296296
full,42,PR,0.7872340425531915,0.8283582089552238
full,42,PR,0.7872340425531915,0.8345864661654135
full,42,PR,0.7801418439716312,0.8333333333333334
full,42,PR,0.7801418439716312,0.8396946564885496
full,42,PR,0.7730496453900709,0.8384615384615385
full,42,PR,0.7659574468085106,0.8372093023255814
full,42,PR,0.7588652482269503,0.8359375
full,42,PR,0.75177304964539,0.8346456692913385
full,42,PR,0.7446808510638298,0.8333333333333334
full,42,PR,0.7375886524822695,0.832
full,42,PR,0.7375886524822695,0.8387096774193549
full,42,PR,0.7304964539007093,0.8373983739837398
full,42,PR,0.723404255319149,0.8360655737704918
full,42,PR,0.7163120567375887,0.8347107438016529
full,42,PR,0.7163120567375887,0.8416666666666667
full,42,PR,0.7092198581560284,0.8403361344537815
full,42,PR,0.7092198581560284,0.847457627118644
full,42,PR,0.7021276595744681,0.8461538461538461
full,42,PR,0.7021276595744681,0.853448275862069
full,42,PR,0.7021276595744681,0.8608695652173913
full,42,PR,0.7021276595744681,0.868421052631579
full,42,PR,0.6950354609929078,0.8672566371681416
full,42,PR,0.6950354609929078,0.875
full,42,PR,0.6879432624113475,0.8738738738738738
full,42,PR,0.6808510638297872,0.8727272727272727
full,42,PR,0.6737588652482269,0.8715596330275229
full,42,PR,0.6666666666666666,0.8703703703703703
full,42,PR,0.6595744680851063,0.8691588785046729
full,42,PR,0.6524822695035462,0.8679245283018868
full,42,PR,0.6524822695035462,0.8761904761904762
full,42,PR,0.6453900709219859,0.875
full,42,PR,0.6382978723404256,0.8737864077669902
full,42,PR,0.6382978723404256,0.8823529411764706
full,42,PR,0.6312056737588653,0.8811881188118812
full,42,PR,0.624113475177305,0.88
full,42,PR,0.624113475177305,0.8888888888888888
full,42,PR,0.6170212765957447,0.8877551020408163
full,42,PR,0.6099290780141844,0.8865979381443299
full,42,PR,0.6099290780141844,0.8958333333333334
full,42,PR,0.6028368794326241,0.8947368421052632
full,42,PR,0.6028368794326241,0.9042553191489362
full,42,PR,0.5957446808510638,0.9032258064516129
full,42,PR,0.5957446808510638,0.9130434782608695
full,42,PR,0.5886524822695035,0.9120879120879121
full,42,PR,0.5815602836879432,0.9111111111111111
full,42,PR,0.574468085106383,0.9101123595505618
full,42,PR,0.5673758865248227,0.9090909090909091
full,42,PR,0.5602836879432624,0.9080459770114943
full,42,PR,0.5531914893617021,0.9069767441860465
full,42,PR,0.5460992907801419,0.9058823529411765
full,42,PR,0.5390070921985816,0.9047619047619048
full,42,PR,0.5390070921985816,0.9156626506024096
full,42,PR,0.5319148936170213,0.9146341463414634
full,42,PR,0.524822695035461,0.9135802469135802
full,42,PR,0.5177304964539007,0.9125
full,42,PR,0.5177304964539007,0.9240506329113924
full,42,PR,0.5106382978723404,0.9230769230769231
full,42,PR,0.5035460992907801,0.922077922077922
full,42,PR,0.5035460992907801,0.9342105263157895
full,42,PR,0.49645390070921985,0.9333333333333333
full,42,PR,0.48936170212765956,0.9324324324324325
full,42,PR,0.48226950354609927,0.9315068493150684
full,42,PR,0.475177304964539,0.9305555555555556
full,42,PR,0.46808510638297873,0.9295774647887324
full,42,PR,0.46099290780141844,0.9285714285714286
full,42,PR,0.45390070921985815,0.927536231884058
full,42,PR,0.44680851063829785,0.9264705882352942
full,42,PR,0.4397163120567376,0.9253731343283582
full,42,PR,0.4326241134751773,0.9242424242424242
full,42,PR,0.425531914893617,0.9230769230769231
full,42,PR,0.41843971631205673,0.921875
full,42,PR,0.41134751773049644,0.9206349206349206
full,42,PR,0.40425531914893614,0.9193548387096774
full,42,PR,0.3971631205673759,0.9180327868852459
full,42,PR,0.3900709219858156,0.9166666666666666
